Index	Sentence	Surprisal	PPL
0	the of.	6.726651191711426	834.3485091167641
1	in every to that.	5.630268573760986	278.73696901712606
2	as a of that to for.	6.034243106842041	417.4827002235289
3	the of on because could the.	7.646823883056641	2093.984277524201
4	to for but worth the.	6.857388496398926	950.880594091539
5	and over and.	6.528075218200684	684.0802383013506
6	to the of.	5.840404510498047	343.9184311471607
7	the when and the to.	5.813460350036621	334.77556431562533
8	as the the the of 40000 the.	6.6708831787109375	789.0922062429423
9	the and the.	5.941043376922607	380.331551752966
10	across and but because.	6.111873149871826	451.1830576173131
11	a about though no in.	7.093703269958496	1204.359621180732
12	in the of and to.	5.47047758102417	237.5736263279287
13	any of the.	5.676658630371094	291.9722111284019
14	who the.	7.155328750610352	1280.9134697247923
15	each in the to down from the.	6.284880638122559	536.4002610740084
16	if any and each and.	6.361788749694824	579.2816200249732
17	each to a as a a or a.	6.168147087097168	477.3008892514502
18	every while as when.	7.194553375244141	1332.1552192027666
19	throughout the in of about.	6.614741802215576	746.0120867987292
20	and of and can.	6.2447509765625	515.3008869497173
21	when to from to.	6.808138370513916	905.1841199934977
22	to and to.	5.618618488311768	275.5085019837127
23	of.	6.055194854736328	426.321968216466
24	the the of a after.	6.452189922332764	634.0893799454743
25	on the and of to.	5.659440040588379	286.9878959810998
26	some that a.	7.12558650970459	1243.3772060376848
27	may with and.	7.057586669921875	1161.6383634624099
28	over the there a of.	6.870819091796875	963.7376321978685
29	and as.	6.353343963623047	574.410308211155
30	but.	6.7901930809021	889.0852106335633
31	the from the the a in the.	5.944585800170898	381.6812362494178
32	in some the and the to the.	5.784116744995117	325.0947716815191
33	would from.	7.757805824279785	2339.76511306126
34	that with the the on the.	6.423943519592285	616.4292280055287
35	can off of and off.	5.5362396240234375	253.72211280063098
36	that can and.	6.549443244934082	698.854974434217
37	can a a of that onto.	7.049625396728516	1152.4269590056388
38	to for of.	6.6359992027282715	762.0401181017588
39	the of at the of.	6.637496471405029	763.1819515034039
40	by a of each in.	6.1239848136901855	456.6808617021117
41	around the but.	6.972132682800293	1066.4948220365686
42	with.	6.505218505859375	668.6217511643408
43	in some with and.	6.678306579589844	794.9717501256655
44	at as a.	6.494257926940918	661.333285561399
45	the into a the to to the.	6.079044342041016	436.61174379207125
46	enough that the any.	6.648519992828369	771.6414451354435
