Index	Sentence	Surprisal	PPL
0	the of.	33.63325595855713	404331401575865.5
1	in every to that.	39.411880016326904	1.3072601199085326e+17
2	as a of that to for.	54.30818796157837	3.8525328793138226e+23
3	the of on because could the.	68.82141494750977	7.740352666279651e+29
4	to for but worth the.	54.859107971191406	6.683560351602216e+23
5	and over and.	39.1684513092041	1.0248074366982029e+17
6	to the of.	35.04242706298828	1654751204758883.2
7	the when and the to.	46.50768280029297	1.5777202737815978e+20
8	as the the the of 40000 the.	73.37971496582031	7.38593180223429e+31
9	the and the.	35.646260261535645	3026733141107706.5
10	across and but because.	48.89498519897461	1.7172054756982587e+21
11	a about though no in.	56.74962615966797	4.426388116057555e+24
12	in the of and to.	43.76382064819336	1.0148125151626134e+19
13	any of the.	34.05995178222656	619511129559224.5
14	who the.	35.77664375305176	3448251731599793.5
15	each in the to down from the.	62.848806381225586	1.9719223327435555e+27
16	if any and each and.	50.894309997558594	1.267996317320683e+22
17	each to a as a a or a.	67.84961795806885	2.928968347627696e+29
18	every while as when.	50.361873626708984	7.44532764452139e+21
19	throughout the in of about.	59.532676219940186	7.156699386065784e+25
20	and of and can.	43.7132568359375	9.647754191964768e+18
21	when to from to.	47.65696859359741	4.979187542827055e+20
22	to and to.	33.711710929870605	437330767552608.56
23	of.	24.220779418945312	33033215382.446884
24	the the of a after.	51.61751937866211	2.613387657516405e+22
25	on the and of to.	45.27552032470703	4.601597647274433e+19
26	some that a.	42.75351905822754	3.695025236694351e+18
27	may with and.	42.34552001953125	2.4571161011511803e+18
28	over the there a of.	54.966552734375	7.441672303117336e+23
29	and as.	31.766719818115234	62533267941177.25
30	but.	27.1607723236084	624846791859.7478
31	the from the the a in the.	59.445858001708984	6.561575073855599e+25
32	in some the and the to the.	57.84116744995117	1.3185598590025543e+25
33	would from.	38.789029121398926	7.012313208038561e+16
34	that with the the on the.	57.815491676330566	1.2851357457444277e+25
35	can off of and off.	44.2899169921875	1.717380603870156e+19
36	that can and.	39.29665946960449	1.1649904490057312e+17
37	can a a of that onto.	63.44662857055664	3.5852602290563127e+27
38	to for of.	39.81599521636963	1.9582449442077238e+17
39	the of at the of.	53.099971771240234	1.1508659193458641e+23
40	by a of each in.	48.991878509521484	1.8919188084859965e+21
41	around the but.	41.83279609680176	1.4714737107359575e+18
42	with.	26.0208740234375	199858214270.35876
43	in some with and.	46.748146057128906	2.0066049156515303e+20
44	at as a.	38.96554756164551	8.366085339665226e+16
45	the into a the to to the.	60.790443420410156	2.517411025454997e+26
46	enough that the any.	46.539639949798584	1.6289539981745966e+20
47	the of into the to.	50.28746795654297	6.91146069265392e+21
48	a of or and to.	47.93022537231445	6.543835833602183e+20
49	the in and what and.	51.743465423583984	2.9641590829822717e+22
50	with and.	32.248380184173584	101226346941892.84
51	when the the.	41.894911766052246	1.5657737208788846e+18
52	the two in of to the.	56.70039653778076	4.213755555232712e+24
53	the underneath the each of.	55.43416213989258	1.1878202538681915e+24
54	the a and.	38.95573425292969	8.28438787831702e+16
55	a a with that to an.	54.77588367462158	6.149842893738376e+23
56	the may by or the may a.	61.44794464111328	4.8585120246602055e+26
57	the for a.	38.2818546295166	4.222777731031992e+16
58	for the because.	36.190378189086914	5215327020600941.0
59	and to.	30.41975498199463	16260418894644.475
60	as as an.	40.074445724487305	2.5357745774057514e+17
61	a for.	33.23178052902222	270631850779138.53
62	of.	24.220779418945312	33033215382.446884
63	may 8 to 10 in the for every will in.	77.25543355941772	3.5612994439698445e+33
64	to to and on the of the.	55.93876838684082	1.9674261289909915e+24
65	the of and as.	44.18052053451538	1.5394169912373307e+19
66	as and who can in.	45.41318130493164	5.280731015524308e+19
67	all but.	30.8624529838562	25315880028129.734
68	the of out to the of the.	57.61897087097168	1.055847272088795e+25
69	to the on the.	41.87429618835449	1.5338248448670126e+18
70	one the on the while the the into.	72.07035875320435	1.9941559346023438e+31
71	in for a by.	41.589513301849365	1.1537086054866657e+18
72	that and the.	37.514739990234375	1.960850881651283e+16
73	some that the.	42.21613883972168	2.1589179904230735e+18
74	up that to the two.	42.39313507080078	2.576941928571948e+18
75	the with to and.	47.64280939102173	4.9091829916131734e+20
76	to within a.	40.4121036529541	3.554296210958747e+17
77	the in an on a than at.	64.25060272216797	8.010916798953158e+27
78	a for.	33.23178052902222	270631850779138.53
79	as the of broadens must if.	70.95876216888428	6.561435328263364e+30
80	that and can in the.	50.38901901245117	7.650202052462192e+21
81	the to in the.	44.05999040603638	1.3646167761548112e+19
82	to for the.	37.422157287597656	1.7874603252813926e+16
83	one at when and the an.	62.56866216659546	1.4901319241802182e+27
84	a for at.	42.0411901473999	1.8124118525842104e+18
85	over the four decades the of up.	62.26198196411133	1.0965670688116215e+27
86	by a of four since the 1970s.	50.07939624786377	5.613134483639404e+21
87	the for to and for could.	56.121665954589844	2.3622716573304668e+24
88	in.	23.445817947387695	15219113582.691475
89	on for.	30.80983877182007	24018338815982.215
90	the with on like in.	53.72408676147461	2.148198583111654e+23
91	in.	23.445817947387695	15219113582.691475
92	because to often.	43.66043186187744	9.151338822517582e+18
93	a of about.	38.60577964782715	5.838174485776965e+16
94	with because a about and.	58.433998107910156	2.3854094411851915e+25
95	to and about the of.	46.801002502441406	2.115519994494182e+20
96	and and.	31.347122192382812	41103820626100.6
97	must and two in to.	54.56571578979492	4.9841289349901795e+23
98	the as to a.	45.998499393463135	9.481880168154712e+19
99	by the in as a.	52.118682861328125	4.313763890422652e+22
100	but the that on of.	51.258060455322266	1.824285510812424e+22
101	each or to.	44.37056064605713	1.861614047992495e+19
102	one may by while another may.	53.85245704650879	2.4424457837231944e+23
103	there like in.	40.77498722076416	5.109188778568553e+17
104	there as or of a.	53.534549713134766	1.7772950510935453e+23
105	some can to of.	50.5610671043396	9.086412369539262e+21
106	if with though can a on.	64.24034357070923	7.929151727463397e+27
107	that to that if will or.	62.31548738479614	1.1568373670186655e+27
108	when and.	34.55019235610962	1011481371955894.9
109	would for no and at.	57.665218353271484	1.1058242985617648e+25
110	to to.	30.905404090881348	26426914380808.56
111	the a with.	39.300719261169434	1.169729681041667e+17
112	with in the.	38.10379600524902	3.5340146429712844e+16
113	as the.	31.708550453186035	58999521709692.95
114	like a would out for a.	54.23553657531738	3.582566476534323e+23
115	while the in.	37.85400867462158	2.7528787620813612e+16
116	on the of for.	43.14416170120239	5.460989646715916e+18
117	up with and.	34.72255325317383	1201747633121107.2
118	a a with.	39.34687042236328	1.2249791720751368e+17
119	should a to the.	47.459447383880615	4.086731572274914e+20
120	the should and the should and the.	50.98897933959961	1.3939023974778637e+22
121	the blind in.	37.932701110839844	2.9782611483187816e+16
122	by a that the.	45.31334686279297	4.778994151989449e+19
123	that an to a.	46.0333366394043	9.818023925332387e+19
124	no so could on.	50.78056478500366	1.131668100253976e+22
125	the as for the of.	48.07941436767578	7.596689101216696e+20
126	by the of can on the.	55.24671220779419	9.847868825996035e+23
127	this may those who but who the.	72.09874629974365	2.0515762844519865e+31
128	in in by and.	45.6328067779541	6.577732039447774e+19
129	these can by and.	52.47942543029785	6.187637713836869e+22
130	in to by.	36.35694694519043	6160577667127676.0
131	no how a from to.	57.32835006713867	7.895617315029361e+24
132	the when a of a.	54.7626953125	6.069269025209896e+23
133	the a to beneath the.	54.69583511352539	5.676744827274472e+23
134	that each to one of the four.	48.08664321899414	7.651803403785039e+20
135	that a on the of the would if.	68.15022611618042	3.9560989233612556e+29
136	that a can to all of the.	56.52714729309082	3.5434649973578064e+24
137	of so to with.	49.587833881378174	3.43338593904903e+21
138	of and with no.	44.07035779953003	1.3788378857840835e+19
139	when.	26.359201431274414	280321061456.1086
140	a for.	33.23178052902222	270631850779138.53
