Index	Sentence	Surprisal	PPL
0	its doctors.	8.521615028381348	5022.158138559464
1	images ligaments chamber documentary jacket.	9.75424575805664	17227.216348537662
2	factor compartments world spears density studies.	9.362510681152344	11643.585204872163
3	horror computer sea attack food collar.	9.093012809753418	8892.938463799052
4	dreams their glimpse water firearm forest.	9.313155174255371	11082.861380019613
5	shots horse silk facility character.	10.573941230773926	39102.48233449274
6	i foods chairs apple tip.	10.296019554138184	29614.505002060952
7	bear sharp law research eagle.	9.46199893951416	12861.568266168586
8	director doors areas theft.	10.406732559204102	33081.60144376165
9	their evidence igloos refrigerators race bird.	8.446451187133789	4658.511181546876
10	team them sex collarbone train dress soldier mind.	9.541123390197754	13920.577083787857
11	lawn storm castles countries.	9.216841697692871	10065.225052081056
12	telescope hundreds articles land damage igloo.	7.729653835296631	2274.8146039534736
13	animals drought their.	8.595934867858887	5409.623996526346
14	eagles revolving she.	9.50626277923584	13443.65839755451
15	keyboards hour train order care axis they.	9.824305534362793	18477.43495384055
16	doctor's salads its space opening bodies.	9.420130729675293	12334.194559578125
17	castle animals cream walls gambling vitamins.	10.664618492126465	42813.91699397973
18	end garage they part army.	9.451617240905762	12728.734056230865
19	insect confusion orange building lettuce.	9.041121482849121	8443.240697991456
20	one kitchen problems strength women's scientist accordionist table.	8.48043155670166	4819.529348326831
21	bit surfaces feet.	10.048904418945312	23130.431695868127
22	prey day's resources repertoire.	7.706369400024414	2222.4587344173956
23	sentence law bananas pharmacies taste.	10.226522445678711	27626.270968706813
24	blubber office hammer tastes lawn.	8.92490005493164	7516.8320251469195
25	tip share cars liquid.	10.823959350585938	50209.49095136681
26	blade use shoe arms.	9.838475227355957	18741.118278465194
27	toll instrument arson plastic.	9.557808876037598	14154.797280500194
28	person hammers building.	8.022772789001465	3049.621577647945
29	spikes documents beekeepers apples.	8.535782814025879	5093.817426601985
30	string singer.	9.274614334106445	10663.845077176957
31	together profession air milk flapping.	9.46361255645752	12882.338663867113
32	it independence farm symptoms types.	9.995697975158691	21931.91092631827
33	their beekeeper's waves atlantic pulp.	7.369776725769043	1587.2793449024225
34	our levels elephant artist face.	9.725752830505371	16743.289506533452
35	lawn trail furniture brand reason orange.	8.652698516845703	5725.576470244632
36	backgrounds something tuxedo blindness.	7.297390460968018	1476.4420629578738
37	metal grenades heat axe plastic movement.	10.134195327758789	25189.822623026143
38	diagnosis castle's ships film furniture.	9.156744956970215	9478.15500867527
39	bottom flood yellow saw ends jackets.	9.86167049407959	19180.90427473278
40	force stones time bike feelings platform land.	10.230074882507324	27724.586076845655
41	faces cyclone dark honey astronauts.	9.83785343170166	18729.468754749927
42	machine ropes flights door area.	10.61422061920166	40709.6571297996
43	tools saws slope cyclist keyboard castle.	9.930984497070312	20557.569489098267
44	his causes cheese freight.	9.02530574798584	8310.755082035945
45	pulp skiers orange grenades its source pharmacists.	8.975525856018066	7907.1750150569105
46	cuisines them shape.	7.462503910064697	1741.5031699833091
47	travel intent levers health emissions.	10.492094039916992	36029.5257105017
48	head famine company crisp her branch grenades soybeans.	10.520857810974121	37080.919272588675
49	lots body vision its insulation.	8.653547286987305	5730.438231563082
50	accident cultures their food screenings.	8.266789436340332	3892.43200886457
51	cream swamp participants pharmacists skiing.	10.174081802368164	26214.862564592797
52	orchestra gallops carrion raspberry air.	6.679050445556641	795.5633225531685
53	mob lawnmowers theatre foods vegetation.	9.032896995544434	8374.08415045861
54	gloves they mug broccoli.	8.950422286987305	7711.147490897683
55	temperate side shelves wound you chair.	9.20537281036377	9950.44756316642
56	walls they support people.	7.235477924346924	1387.8040050320906
57	pool furniture engine cream water fields.	9.753412246704102	17212.86325070448
58	size coin chose environment.	9.350135803222656	11500.385128468843
59	flathead program.	8.009307861328125	3008.8338617432514
60	it's time computers accordions.	7.603876113891602	2005.956160090714
61	in she vultures passengers.	7.089137077331543	1198.8728195881522
62	order preferences.	8.072422981262207	3204.857739320698
63	market bitter insulation instrument firearms shirt.	11.106197357177734	66582.51983760632
64	threatened side doors apples objects work taste dishes.	9.64421558380127	15432.26279709436
65	they driving structures hands them instrument.	9.520524024963379	13636.755342217013
66	stress tool property sport ship blacksmiths.	8.665203094482422	5797.6218957639285
67	taste melt science.	7.909159183502197	2722.1007166547806
68	stone foods their house cavity.	9.209114074707031	9987.74454326087
69	taste sahara cutlery stores.	5.496450901031494	243.82503564073562
70	rain desert stripes loss kitchen advantage.	10.237785339355469	27939.181552841408
71	statements cyclone performances broccoli.	9.230270385742188	10201.299424755025
72	birds climbing nail nation blenders.	9.6611328125	15695.554721702603
73	member paper body task bottles coconuts.	8.056658744812012	3154.7317412399875
74	hammers ice craft.	7.75591516494751	2335.3455935343354
75	eye patients ingredients painting juice its.	10.577962875366211	39260.05525989278
76	range its exams her he founders.	9.771285057067871	17523.27115929868
77	cyclones trees wool.	9.014867782592773	8224.458870040915
78	miles opera mouth.	8.787888526916504	6554.378161358261
79	sweetness it sobriety body child.	7.354390621185303	1563.0442190893532
80	forks rope vehicle it.	8.780234336853027	6504.40121568197
81	fork ocean round voice banana relationship.	10.559334754943848	38535.48387669609
82	months mammals expansion.	10.918068885803223	55164.1677103439
83	their hand their pedals butterfly painters match.	8.893960952758789	7287.828834722852
84	windows home studies bathroom.	9.457114219665527	12798.896300486902
85	walls rifles regeneration.	9.416818618774414	12293.409918235595
86	die crime storage gambling.	9.975653648376465	21496.677093415652
87	i home fingers music graphics.	9.240708351135254	10308.337895211751
88	cooked frying meal cabin instrument.	10.5130615234375	36792.94976895782
89	flood house problems butterflies hole.	8.647997856140137	5698.725635687486
90	carpenter mixture blind hairs forests trunk keyboard.	9.198551177978516	9882.800262658237
91	crime process.	9.742162704467773	17020.31150868441
92	rituals entranceway games butterfat sound.	7.795808792114258	2430.3943135335426
93	agriculture series space pyramid.	7.54276704788208	1887.0443497641943
94	muscular seed things on eye process dust property.	8.888736724853516	7249.854834738091
95	trunk top channel sound tests crunch their.	9.257078170776367	10478.472262570891
96	orange handle part talons land.	9.010490417480469	8188.536091634731
97	caregiver habitats landslides chamber skiing.	8.311015129089355	4068.4408808633625
98	piranhas earthquakes handle food people bellows.	8.162181854248047	3505.827469661886
99	tomato canvas bears pharmacist.	8.690805435180664	5947.9710190390815
100	locks passengers animals times bees texture buildings.	10.92390251159668	55486.91530101856
101	strength star business mower blenders.	8.156571388244629	3486.2132178263796
102	grenades law size.	8.531847953796387	5073.813349428066
103	orange someone.	9.087752342224121	8846.280279298213
104	log cable hills smoothies.	9.38158130645752	11867.766499952566
105	design honey activities.	9.414729118347168	12267.749650865033
106	insects roads protection.	7.320356845855713	1510.7429759564973
107	birds ships toaster wings healing.	9.861042976379395	19168.871693518326
108	screwdrivers soap outsole.	7.323001861572266	1514.7442041946097
109	oil surface materials commuter raspberry knowledge.	10.603836059570312	40289.09273521362
110	owl their scissors legs broccoli.	10.7548189163208	46855.276949613086
111	they earth tables appliance drawers.	8.795559883117676	6604.852486642333
112	wire they drought racing.	10.038321495056152	22886.934824732853
113	desk girls people vaccines opera.	9.402676582336426	12120.779616356269
114	patrons saddle milk everything.	8.99354076385498	8050.912868966789
115	gasoline graphics piano beak bottom.	8.464923858642578	4745.3660794760135
116	insects piranhas structures rooms.	6.806744575500488	903.923357707014
117	climates mountains savings milk people beekeeper.	9.208759307861328	9984.201851085589
