,original,length-control,random-wl,nouns,nounsverbs,nounsverbsadj,contentwords,functionwords,random-nouns,sent_passage,sent_topic,sent_random,scrambled1,scrambled3,scrambled5,scrambled7,backward,lowpmi,lowpmi-random
original,1.0,3.4860329372470004e-13,0.03408622601703966,0.20428617095743026,0.6057374217756382,0.5908472791523591,0.7689000702580926,2.2242806152289156e-08,0.006578435099504073,0.11123877411372618,0.0009725554371400945,0.0001334784308623835,0.6110357553503287,0.6064827837638598,0.7164444108478353,0.8989030692458285,0.3264372338599095,0.9457920860715998,0.742756151549341
length-control,3.4860329372470004e-13,1.0,1.9945159181174448e-10,2.8954606106089136e-11,1.5778073752982263e-12,3.8101375283080426e-13,1.5778073752982263e-12,7.759609471548697e-07,1.469190813899507e-08,5.511934056927897e-13,1.0674361899216472e-11,4.339910958207742e-10,5.5740554004368e-13,3.8101375283080426e-13,1.1436451236798569e-14,1.5333792124055316e-12,2.897403892711171e-12,3.488371057232739e-14,6.278930598987937e-12
random-wl,0.03408622601703966,1.9945159181174448e-10,1.0,0.5332835303333344,0.1504600480650053,0.11951923211176299,0.1046215116195296,2.1494062013296697e-05,0.48618232330904565,0.48618232330904565,0.4956801661864831,0.10043809958907433,0.12331091319814143,0.11588607435368321,0.048172251705964744,0.07275549938506272,0.3295457726735396,0.030879704341961706,0.13488659926321336
nouns,0.20428617095743026,2.8954606106089136e-11,0.5332835303333344,1.0,0.5736752129456886,0.515580423575521,0.45085154740153344,2.2270593073951867e-06,0.13679520219871955,0.9924589611742503,0.10043809958907433,0.012849144337615274,0.515580423575521,0.504953458193597,0.3264372338599095,0.3370218261344782,0.8318059541667235,0.20643088990132932,0.504791830370463
nounsverbs,0.6057374217756382,1.5778073752982263e-12,0.1504600480650053,0.5736752129456886,1.0,0.9901343638400544,0.8989030692458285,1.6121044878317885e-07,0.029263116730359175,0.48618232330904565,0.009633266687372298,0.0011145555278498122,0.9815932605161616,0.9815932605161616,0.8318059541667235,0.7743055588491531,0.7689000702580926,0.6355202726182672,0.9373242053592853
nounsverbsadj,0.5908472791523591,3.8101375283080426e-13,0.11951923211176299,0.515580423575521,0.9901343638400544,1.0,0.9119012277660877,5.9484845471152005e-08,0.02178921262932162,0.4159408191492842,0.00518360977720582,0.0005963746865397534,0.9924589611742503,0.9924589611742503,0.8318059541667235,0.7743055588491531,0.7164444108478353,0.6235178361978975,0.9457920860715998
contentwords,0.7689000702580926,1.5778073752982263e-12,0.1046215116195296,0.45085154740153344,0.8989030692458285,0.9119012277660877,1.0,1.2188240183789998e-07,0.020357137960829694,0.3370218261344782,0.005856669796462871,0.0007105669829886286,0.9125549065521451,0.9125549065521451,0.9815932605161616,0.9125549065521451,0.6155912236586721,0.8090442860950784,0.9815932605161616
functionwords,2.2242806152289156e-08,7.759609471548697e-07,2.1494062013296697e-05,2.2270593073951867e-06,1.6121044878317885e-07,5.9484845471152005e-08,1.2188240183789998e-07,1.0,0.0008433902429740791,2.1138678741821294e-07,2.105373236999245e-05,0.0006748865392665277,8.164705975428828e-08,5.9484845471152005e-08,5.655132154265704e-09,9.045709485307962e-08,3.7300945218127093e-07,7.706098392758422e-09,2.9745438809400953e-07
random-nouns,0.006578435099504073,1.469190813899507e-08,0.48618232330904565,0.13679520219871955,0.029263116730359175,0.02178921262932162,0.020357137960829694,0.0008433902429740791,1.0,0.10043809958907433,0.8989030692458285,0.6267402496356367,0.022879836325539613,0.02124911587149762,0.008357298287902435,0.013683907365656778,0.06690053828021314,0.005856669796462871,0.02763368843141048
sent_passage,0.11123877411372618,5.511934056927897e-13,0.48618232330904565,0.9924589611742503,0.48618232330904565,0.4159408191492842,0.3370218261344782,2.1138678741821294e-07,0.10043809958907433,1.0,0.04324230758840728,0.004334390076264825,0.4212168042145893,0.40178675206684517,0.16279447517784287,0.2333837810082461,0.7829136443581075,0.1009480592564419,0.4212168042145893
sent_topic,0.0009725554371400945,1.0674361899216472e-11,0.4956801661864831,0.10043809958907433,0.009633266687372298,0.00518360977720582,0.005856669796462871,2.105373236999245e-05,0.8989030692458285,0.04324230758840728,1.0,0.3300279172922213,0.005911147296816957,0.005026023084195554,0.0006893872625257406,0.003707347204097586,0.02940183064897463,0.0005900747639529918,0.010451456819478252
sent_random,0.0001334784308623835,4.339910958207742e-10,0.10043809958907433,0.012849144337615274,0.0011145555278498122,0.0005963746865397534,0.0007105669829886286,0.0006748865392665277,0.6267402496356367,0.004334390076264825,0.3300279172922213,1.0,0.0006893872625257406,0.0005900747639529918,8.107234373466606e-05,0.0005156277886865955,0.0035921371251002596,7.150333677303808e-05,0.0013435562089098446
scrambled1,0.6110357553503287,5.5740554004368e-13,0.12331091319814143,0.515580423575521,0.9815932605161616,0.9924589611742503,0.9125549065521451,8.164705975428828e-08,0.022879836325539613,0.4212168042145893,0.005911147296816957,0.0006893872625257406,1.0,0.9924589611742503,0.8529920168112703,0.7829136443581075,0.7164444108478353,0.642789024890575,0.9468067908756688
scrambled3,0.6064827837638598,3.8101375283080426e-13,0.11588607435368321,0.504953458193597,0.9815932605161616,0.9924589611742503,0.9125549065521451,5.9484845471152005e-08,0.02124911587149762,0.40178675206684517,0.005026023084195554,0.0005900747639529918,0.9924589611742503,1.0,0.8529920168112703,0.7829136443581075,0.7099584562139081,0.6371405442603308,0.9468067908756688
scrambled5,0.7164444108478353,1.1436451236798569e-14,0.048172251705964744,0.3264372338599095,0.8318059541667235,0.8318059541667235,0.9815932605161616,5.655132154265704e-09,0.008357298287902435,0.16279447517784287,0.0006893872625257406,8.107234373466606e-05,0.8529920168112703,0.8529920168112703,1.0,0.9125549065521451,0.4895974990263819,0.7743055588491531,0.9468067908756688
scrambled7,0.8989030692458285,1.5333792124055316e-12,0.07275549938506272,0.3370218261344782,0.7743055588491531,0.7743055588491531,0.9125549065521451,9.045709485307962e-08,0.013683907365656778,0.2333837810082461,0.003707347204097586,0.0005156277886865955,0.7829136443581075,0.7829136443581075,0.9125549065521451,1.0,0.4910855106490267,0.9457920860715998,0.8931770087464088
backward,0.3264372338599095,2.897403892711171e-12,0.3295457726735396,0.8318059541667235,0.7689000702580926,0.7164444108478353,0.6155912236586721,3.7300945218127093e-07,0.06690053828021314,0.7829136443581075,0.02940183064897463,0.0035921371251002596,0.7164444108478353,0.7099584562139081,0.4895974990263819,0.4910855106490267,1.0,0.3300279172922213,0.6793381045786683
lowpmi,0.9457920860715998,3.488371057232739e-14,0.030879704341961706,0.20643088990132932,0.6355202726182672,0.6235178361978975,0.8090442860950784,7.706098392758422e-09,0.005856669796462871,0.1009480592564419,0.0005900747639529918,7.150333677303808e-05,0.642789024890575,0.6371405442603308,0.7743055588491531,0.9457920860715998,0.3300279172922213,1.0,0.7829136443581075
lowpmi-random,0.742756151549341,6.278930598987937e-12,0.13488659926321336,0.504791830370463,0.9373242053592853,0.9457920860715998,0.9815932605161616,2.9745438809400953e-07,0.02763368843141048,0.4212168042145893,0.010451456819478252,0.0013435562089098446,0.9468067908756688,0.9468067908756688,0.9468067908756688,0.8931770087464088,0.6793381045786683,0.7829136443581075,1.0
