condition,ttest2original,adjusted_pvals2original,cohensd2original,ttest2random,adjusted_pvals2random,cohensd2random
1LocalWordSwap,0.940051388714801,0.40257286041507934,0.4204037615018747,-14.281213249940325,1.0274625486967266e-10,-6.386752725607452
3LocalWordSwaps,0.8572567681053512,0.40257286041507934,0.38337688153106847,-13.94260586844862,1.0274625486967266e-10,-6.23532290106772
5LocalWordSwaps,2.6840847090746043,0.02121694527865487,1.2003591733717123,-13.363001744303084,1.5339237305764572e-10,-5.976116056741991
7LocalWordSwaps,2.7883034205310517,0.02121694527865487,1.2469671980405235,-11.167910749206838,2.2264858904634092e-09,-4.994441520375418
ReverseOrder,4.717750476236528,0.001181265248851294,2.109842153149377,-13.932630136370307,1.0274625486967266e-10,-6.230861618057233
LowPMI,3.4668023017322698,0.006421868219575326,1.5504011222452185,-8.226336499779533,1.6434282196545132e-07,-3.6789295238589443
LowPMIRand,4.410540337841637,0.001181265248851294,1.9724536025837576,-10.829393043798175,3.0159419421141378e-09,-4.843051800199215
KeepContentW,1.4187457317510241,0.17305672008773357,0.6344823797965944,-8.977279375182054,1.1432762829813918e-07,-4.014761387182782
KeepNVAdj,2.026006001716798,0.07230956213038518,0.9060574285322622,-8.13703132790685,3.2042722533048506e-07,-3.6389910368490206
KeepNV,2.915949437484968,0.015369997109062498,1.3040522322337327,-10.823832182253044,1.3030265334457995e-08,-4.8405649073135395
KeepN,4.696246380507596,0.0004498102901464761,2.1002252291804653,-6.266392273414926,8.201654094869017e-06,-2.802415819407045
KeepFunctionW,16.45174413485829,1.3607156502162501e-11,7.35744364679532,-0.46149715798252916,0.6499701834204153,-0.20638780333437884
RandSentFromPassage,2.960358464920166,0.008376393804109664,1.323912553065683,-10.992518511513545,6.127954560539343e-09,-4.916003727133818
RandSentFromTopic,13.411148169671847,1.2393130345554244e-10,5.997647792741627,-2.410578534547989,0.04025605938765993,-1.0780434936702257
RandSent,16.496613840044212,7.796246630276306e-12,7.377509988980541,0.7013071125251289,0.49207952986261105,0.3136340753420568
RandWordList,14.928577223385956,1.396156133500441e-11,6.6762626957692115,0.0,1.0,0.0
