Condition 1,Condition 2,T-test statistic,Adjusted pvalue,Significance,Cohen's d,Unadjusted p value,Manipulation,Computational design
1LocalWordSwap,3LocalWordSwaps,1.722,0.215,n.s.,0.77,0.102,word-order,TrainIntact-TestPerturbed:contextualized
1LocalWordSwap,5LocalWordSwaps,1.939,0.179,n.s.,0.867,0.068,word-order,TrainIntact-TestPerturbed:contextualized
1LocalWordSwap,7LocalWordSwaps,1.972,0.179,n.s.,0.882,0.064,word-order,TrainIntact-TestPerturbed:contextualized
1LocalWordSwap,ReverseOrder,3.551,0.048,*,1.588,0.002,word-order,TrainIntact-TestPerturbed:contextualized
1LocalWordSwap,LowPMI,1.724,0.215,n.s.,0.771,0.102,word-order,TrainIntact-TestPerturbed:contextualized
1LocalWordSwap,LowPMIRand,2.833,0.116,n.s.,1.267,0.011,word-order,TrainIntact-TestPerturbed:contextualized
3LocalWordSwaps,5LocalWordSwaps,0.283,0.862,n.s.,0.127,0.78,word-order,TrainIntact-TestPerturbed:contextualized
3LocalWordSwaps,7LocalWordSwaps,0.334,0.862,n.s.,0.15,0.742,word-order,TrainIntact-TestPerturbed:contextualized
3LocalWordSwaps,ReverseOrder,2.359,0.157,n.s.,1.055,0.03,word-order,TrainIntact-TestPerturbed:contextualized
3LocalWordSwaps,LowPMI,-0.071,0.958,n.s.,-0.032,0.944,word-order,TrainIntact-TestPerturbed:contextualized
3LocalWordSwaps,LowPMIRand,1.449,0.288,n.s.,0.648,0.165,word-order,TrainIntact-TestPerturbed:contextualized
5LocalWordSwaps,7LocalWordSwaps,0.053,0.958,n.s.,0.024,0.958,word-order,TrainIntact-TestPerturbed:contextualized
5LocalWordSwaps,ReverseOrder,2.078,0.179,n.s.,0.929,0.052,word-order,TrainIntact-TestPerturbed:contextualized
5LocalWordSwaps,LowPMI,-0.37,0.862,n.s.,-0.165,0.716,word-order,TrainIntact-TestPerturbed:contextualized
5LocalWordSwaps,LowPMIRand,1.169,0.416,n.s.,0.523,0.258,word-order,TrainIntact-TestPerturbed:contextualized
7LocalWordSwaps,ReverseOrder,2.012,0.179,n.s.,0.9,0.059,word-order,TrainIntact-TestPerturbed:contextualized
7LocalWordSwaps,LowPMI,-0.422,0.862,n.s.,-0.189,0.678,word-order,TrainIntact-TestPerturbed:contextualized
7LocalWordSwaps,LowPMIRand,1.109,0.423,n.s.,0.496,0.282,word-order,TrainIntact-TestPerturbed:contextualized
ReverseOrder,LowPMI,-2.543,0.143,n.s.,-1.137,0.02,word-order,TrainIntact-TestPerturbed:contextualized
ReverseOrder,LowPMIRand,-0.894,0.536,n.s.,-0.4,0.383,word-order,TrainIntact-TestPerturbed:contextualized
LowPMI,LowPMIRand,1.591,0.246,n.s.,0.711,0.129,word-order,TrainIntact-TestPerturbed:contextualized
