Condition 1,Condition 2,T-test statistic,Adjusted pvalue,Significance,Cohen's d,Unadjusted p value,Manipulation,Computational design
KeepContentW,KeepNVAdj,0.25,0.895,n.s.,0.112,0.805,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepContentW,KeepNV,0.272,0.895,n.s.,0.122,0.789,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepContentW,KeepN,1.134,0.543,n.s.,0.507,0.272,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepContentW,KeepFunctionW,9.558,0.0,***,4.275,0.0,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepNVAdj,KeepNV,0.042,0.967,n.s.,0.019,0.967,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepNVAdj,KeepN,0.982,0.551,n.s.,0.439,0.339,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepNVAdj,KeepFunctionW,10.101,0.0,***,4.517,0.0,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepNV,KeepN,0.889,0.551,n.s.,0.398,0.386,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepNV,KeepFunctionW,9.359,0.0,***,4.185,0.0,information-loss,TrainPerturbed-TestPerturbed:contextualized
KeepN,KeepFunctionW,7.722,0.0,***,3.454,0.0,information-loss,TrainPerturbed-TestPerturbed:contextualized
