Condition 1,Condition 2,T-test statistic,Adjusted pvalue,Significance,Cohen's d,Unadjusted p value,Manipulation,Computational design
1LocalWordSwap,3LocalWordSwaps,-0.062,0.984,n.s.,-0.028,0.951,word-order,TrainPerturbed-TestPerturbed:decontextualized
1LocalWordSwap,5LocalWordSwaps,1.735,0.175,n.s.,0.776,0.1,word-order,TrainPerturbed-TestPerturbed:decontextualized
1LocalWordSwap,7LocalWordSwaps,1.943,0.158,n.s.,0.869,0.068,word-order,TrainPerturbed-TestPerturbed:decontextualized
1LocalWordSwap,ReverseOrder,3.705,0.013,*,1.657,0.002,word-order,TrainPerturbed-TestPerturbed:decontextualized
1LocalWordSwap,LowPMI,2.747,0.046,*,1.228,0.013,word-order,TrainPerturbed-TestPerturbed:decontextualized
1LocalWordSwap,LowPMIRand,3.531,0.013,*,1.579,0.002,word-order,TrainPerturbed-TestPerturbed:decontextualized
3LocalWordSwaps,5LocalWordSwaps,1.753,0.175,n.s.,0.784,0.097,word-order,TrainPerturbed-TestPerturbed:decontextualized
3LocalWordSwaps,7LocalWordSwaps,1.959,0.158,n.s.,0.876,0.066,word-order,TrainPerturbed-TestPerturbed:decontextualized
3LocalWordSwaps,ReverseOrder,3.649,0.013,*,1.632,0.002,word-order,TrainPerturbed-TestPerturbed:decontextualized
3LocalWordSwaps,LowPMI,2.753,0.046,*,1.231,0.013,word-order,TrainPerturbed-TestPerturbed:decontextualized
3LocalWordSwaps,LowPMIRand,3.505,0.013,*,1.567,0.003,word-order,TrainPerturbed-TestPerturbed:decontextualized
5LocalWordSwaps,7LocalWordSwaps,0.426,0.788,n.s.,0.19,0.675,word-order,TrainPerturbed-TestPerturbed:decontextualized
5LocalWordSwaps,ReverseOrder,1.863,0.166,n.s.,0.833,0.079,word-order,TrainPerturbed-TestPerturbed:decontextualized
5LocalWordSwaps,LowPMI,1.484,0.251,n.s.,0.664,0.155,word-order,TrainPerturbed-TestPerturbed:decontextualized
5LocalWordSwaps,LowPMIRand,1.966,0.158,n.s.,0.879,0.065,word-order,TrainPerturbed-TestPerturbed:decontextualized
7LocalWordSwaps,ReverseOrder,1.08,0.409,n.s.,0.483,0.294,word-order,TrainPerturbed-TestPerturbed:decontextualized
7LocalWordSwaps,LowPMI,1.04,0.409,n.s.,0.465,0.312,word-order,TrainPerturbed-TestPerturbed:decontextualized
7LocalWordSwaps,LowPMIRand,1.319,0.306,n.s.,0.59,0.204,word-order,TrainPerturbed-TestPerturbed:decontextualized
ReverseOrder,LowPMI,0.342,0.814,n.s.,0.153,0.736,word-order,TrainPerturbed-TestPerturbed:decontextualized
ReverseOrder,LowPMIRand,0.509,0.762,n.s.,0.228,0.617,word-order,TrainPerturbed-TestPerturbed:decontextualized
LowPMI,LowPMIRand,0.02,0.984,n.s.,0.009,0.984,word-order,TrainPerturbed-TestPerturbed:decontextualized
