,exp_condition1,exp_condition2,ttest,adjusted_pval,significance,pvals,manipulation
0,TrainIntact-TestPerturbed:contextualized,TrainIntact-TestPerturbed:contextualized,0.0,1.0,n.s.,1.0,word-order
1,TrainIntact-TestPerturbed:contextualized,TrainIntact-TestPerturbed:decontextualized,15.052,0.0,***,6.646504797657562e-31,word-order
2,TrainIntact-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:contextualized,-7.114,0.0,***,5.574495688768935e-11,word-order
3,TrainIntact-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:decontextualized,14.444,0.0,***,2.1945779059477385e-29,word-order
4,TrainIntact-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:contextualized,-15.052,0.0,***,6.646504797657562e-31,word-order
5,TrainIntact-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:decontextualized,0.0,1.0,n.s.,1.0,word-order
6,TrainIntact-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:contextualized,-20.828,0.0,***,1.959312584813881e-44,word-order
7,TrainIntact-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:decontextualized,-0.655,0.684,n.s.,0.5133398160354559,word-order
8,TrainPerturbed-TestPerturbed:contextualized,TrainIntact-TestPerturbed:contextualized,7.114,0.0,***,5.574495688768935e-11,word-order
9,TrainPerturbed-TestPerturbed:contextualized,TrainIntact-TestPerturbed:decontextualized,20.828,0.0,***,1.959312584813881e-44,word-order
10,TrainPerturbed-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:contextualized,0.0,1.0,n.s.,1.0,word-order
11,TrainPerturbed-TestPerturbed:contextualized,TrainPerturbed-TestPerturbed:decontextualized,20.28,0.0,***,3.1486029691141322e-43,word-order
12,TrainPerturbed-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:contextualized,-14.444,0.0,***,2.1945779059477385e-29,word-order
13,TrainPerturbed-TestPerturbed:decontextualized,TrainIntact-TestPerturbed:decontextualized,0.655,0.684,n.s.,0.5133398160354559,word-order
14,TrainPerturbed-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:contextualized,-20.28,0.0,***,3.1486029691141322e-43,word-order
15,TrainPerturbed-TestPerturbed:decontextualized,TrainPerturbed-TestPerturbed:decontextualized,0.0,1.0,n.s.,1.0,word-order
